title,main_speaker,film_date,tags
Love -- you're doing it wrong,Yann Dall'Aglio,2012-10-12T00:00:00Z,"['TEDx', 'culture', 'love', 'philosophy', 'relationships']"
A new way to grow bone,Molly Stevens,2013-06-27T00:00:00Z,"['biology', 'biomechanics', 'biotech', 'design', 'engineering', 'future', 'health', 'health care', 'materials', 'medical research', 'medicine', 'molecular biology', 'science', 'synthetic biology', 'technology']"
What it takes to be a great leader,Roselinde Torres,2013-10-30T00:00:00Z,"['business', 'leadership', 'motivation', 'women in business']"
Are we designed to be sexual omnivores?,Christopher Ryan,2013-02-28T00:00:00Z,"['culture', 'relationships', 'sex']"
We're all hiding something. Let's find the courage to open up,Ash Beckham,2013-09-13T00:00:00Z,"['Gender equality', 'TEDx', 'culture', 'empathy', 'happiness']"
Can the damaged brain repair itself?,Siddharthan Chandran,2013-07-15T00:00:00Z,"['aging', 'biotech', 'brain', 'cognitive science', 'disability', 'future', 'health', 'health care', 'innovation', 'medical research', 'medicine', 'molecular biology', 'neuroscience', 'science', 'synthetic biology']"
Why good hackers make good citizens,Catherine Bracy,2013-09-20T00:00:00Z,"['cities', 'software', 'urban planning']"
We need money for aid. So let‰Ûªs print it.,Michael Metcalfe,2013-11-06T00:00:00Z,"['economics', 'global issues', 'poverty']"
"What we can learn from galaxies far, far away",Henry Lin,2013-11-19T00:00:00Z,"['TEDYouth', 'astronomy', 'dark matter', 'energy', 'physics', 'science', 'space', 'universe', 'youth']"
The 3 agencies with the power to make or break economies,Annette Heuser,2013-06-07T00:00:00Z,"['business', 'finance', 'global issues']"
Could future devices read images from our brains?,Mary Lou Jepsen,2013-03-12T00:00:00Z,"['Surgery', 'biotech', 'brain', 'cognitive science', 'computers', 'creativity', 'engineering', 'intelligence', 'interface design', 'medical imaging', 'medical research', 'memory', 'neuroscience', 'science', 'technology', 'visualizations']"
How data will transform business,Philip Evans,2013-11-11T00:00:00Z,"['business', 'economics']"
Government surveillance ‰ÛÓ this is just the beginning,Christopher Soghoian,2013-08-12T00:00:00Z,"['Internet', 'Surveillance', 'TED Fellows', 'business', 'government']"
My DNA vending machine,Gabe Barcia-Colombo,2013-08-19T00:00:00Z,"['DNA', 'TED Fellows', 'art']"
A 50-cent microscope that folds like origami,Manu Prakash,2012-06-26T00:00:00Z,"['TED Fellows', 'global issues', 'health', 'physics']"
A word game to communicate in any language,Ajit Narayanan,2013-02-27T00:00:00Z,"['disability', 'language', 'speech', 'technology']"
"Can we all ""have it all""?",Anne-Marie Slaughter,2013-06-11T00:00:00Z,"['Gender equality', 'inequality', 'men', 'policy', 'women', 'work', 'work-life balance']"
You don't need an app for that,Toby Shapshak,2013-07-17T00:00:00Z,"['Africa', 'innovation', 'technology']"
The birds and the bees are just the beginning,Carin Bondar,2013-06-12T00:00:00Z,"['animals', 'biology', 'sex']"
The long reach of reason,Steven Pinker and Rebecca Newberger Goldstein,2012-02-19T00:00:00Z,"['brain', 'consciousness', 'culture', 'philosophy', 'psychology']"
The neuroscience of restorative justice,Daniel Reisel,2013-02-27T00:00:00Z,"['behavioral economics', 'brain', 'cognitive science', 'crime', 'culture', 'empathy', 'global issues', 'morality', 'neuroscience', 'prison', 'psychology', 'science']"
Here's how we take back the Internet,Edward Snowden,2014-03-18T00:00:00Z,"['Internet', 'Surveillance', 'journalism', 'law']"
What I learned from going blind in space,Chris Hadfield,2014-03-18T00:00:00Z,"['adventure', 'culture', 'fear', 'life', 'live music', 'space']"
My wish: To launch a new era of openness in business,Charmian Gooch,2014-03-18T00:00:00Z,"['TED Prize', 'business', 'corruption', 'global issues']"
The NSA responds to Edward Snowden's TED Talk,Richard Ledgett,2014-03-20T00:00:00Z,"['Surveillance', 'culture', 'global issues', 'government', 'law']"
Where‰Ûªs Google going next?,Larry Page,2014-03-20T00:00:00Z,"['AI', 'TED Brain Trust', 'algorithm', 'business', 'intelligence']"
"My daughter, Malala",Ziauddin Yousafzai,2014-03-17T00:00:00Z,"['education', 'family', 'feminism', 'global issues', 'women']"
"To create for the ages, let's combine art and engineering",Bran Ferren,2014-03-18T00:00:00Z,"['ancient world', 'architecture', 'design', 'engineering']"
Zombie roaches and other parasite tales,Ed Yong,2014-03-20T00:00:00Z,"['animals', 'biodiversity', 'biology', 'brain', 'insects', 'microbes', 'microbiology', 'mind', 'nanoscale', 'science']"
Protecting Twitter users (sometimes from themselves),Del Harvey,2014-03-12T00:00:00Z,"['security', 'social media', 'technology']"
"The new bionics that let us run, climb and dance",Hugh Herr,2014-03-12T00:00:00Z,"['dance', 'exoskeleton', 'prosthetics', 'technology']"
Why I must come out,Geena Rocero,2014-03-19T00:00:00Z,"['Gender equality', 'LGBT', 'Transgender', 'activism', 'beauty', 'fashion', 'gender', 'identity', 'inequality']"
"It's TED, the Musical",TED staff,2014-04-01T00:00:00Z,"['dance', 'genetics', 'music']"
The discovery that could rewrite physics,Allan Adams,2014-03-18T00:00:00Z,"['astronomy', 'big bang', 'physics', 'space', 'time', 'universe']"
Why giving away our wealth has been the most satisfying thing we've done,Bill and Melinda Gates,2014-03-18T00:00:00Z,"['activism', 'business', 'money', 'philanthropy']"
"Your social media ""likes"" expose more than you think",Jennifer Golbeck,2013-10-01T00:00:00Z,"['TEDx', 'data', 'social media', 'sociology', 'technology']"
The unstoppable walk to political reform,Lawrence Lessig,2014-03-20T00:00:00Z,"['corruption', 'democracy', 'government', 'politics']"
How public spaces make cities work,Amanda Burden,2014-03-20T00:00:00Z,"['architecture', 'cities']"
Teach teachers how to create magic,Christopher Emdin,2013-10-08T00:00:00Z,"['education', 'innovation', 'magic', 'presentation', 'religion', 'science', 'social change', 'storytelling', 'teaching']"
Hidden miracles of the natural world,Louie Schwartzberg,2014-03-19T00:00:00Z,"['bacteria', 'film', 'insects', 'nanoscale', 'nature', 'photography']"
The sore problem of prosthetic limbs,David Sengeh,2014-03-17T00:00:00Z,"['Senses', 'TED Fellows', 'global issues', 'prosthetics', 'technology']"
Be passionate. Be courageous. Be your best.,Gabby Giffords and Mark Kelly,2014-03-21T00:00:00Z,"['Guns', 'violence']"
Should you live for your rÌ©sumÌ© ... or your eulogy?,David Brooks,2014-03-19T00:00:00Z,"['introvert', 'philosophy', 'psychology', 'self', 'success']"
"For parents, happiness is a very high bar",Jennifer Senior,2014-03-21T00:00:00Z,"['culture', 'family', 'parenting']"
How I help transgender teens become who they want to be,Norman Spack,2013-11-27T00:00:00Z,"['LGBT', 'TEDx', 'Transgender', 'gender', 'medicine', 'youth']"
The flower-shaped starshade that might help us detect Earth-like planets,Jeremy Kasdin,2014-03-19T00:00:00Z,"['Planets', 'astronomy', 'science', 'space', 'technology', 'telescopes']"
My life in typefaces,Matthew Carter,2014-03-18T00:00:00Z,"['design', 'industrial design', 'typography']"
Embrace the near win,Sarah Lewis,2014-03-20T00:00:00Z,"['art', 'failure', 'motivation']"
How synchronized hammer strikes could generate nuclear fusion,Michel Laberge,2014-03-20T00:00:00Z,"['alternative energy', 'energy', 'future', 'industrial design', 'nuclear energy', 'physics', 'science', 'sustainability', 'visualizations']"
A shark-deterrent wetsuit (and it's not what you think),Hamish Jolly,2013-10-14T00:00:00Z,"['TEDx', 'biomimicry', 'design', 'oceans', 'sports']"
The best computer interface? Maybe ... your hands,James Patten,2013-08-20T00:00:00Z,"['Senses', 'TED Fellows', 'computers', 'design', 'interface design', 'programming']"
"Success, failure and the drive to keep creating",Elizabeth Gilbert,2014-03-19T00:00:00Z,"['creativity', 'failure', 'success', 'writing']"
Autism ‰ÛÓ what we know (and what we don't know yet),Wendy Chung,2014-03-20T00:00:00Z,"['Autism spectrum disorder', 'DNA', 'Vaccines', 'biology', 'children', 'cognitive science', 'disability', 'disease', 'family', 'genetics', 'health', 'medical research', 'medicine', 'mental health', 'neuroscience', 'pregnancy', 'psychology', 'science']"
"Are athletes really getting faster, better, stronger?",David Epstein,2014-03-20T00:00:00Z,"['DNA', 'genetics', 'innovation', 'physiology', 'science', 'sports']"
Get your next eye exam on a smartphone,Andrew Bastawrous,2014-03-17T00:00:00Z,"['Blindness', 'TED Fellows', 'health', 'invention', 'public health', 'sight']"
The emergent patterns of climate change,Gavin Schmidt,2014-03-12T00:00:00Z,"['algorithm', 'botany', 'climate change', 'code', 'computers', 'data', 'ecology', 'environment', 'future', 'green', 'math', 'pollution', 'prediction', 'science', 'visualizations', 'water', 'weather']"
What does the future hold? 11 characters offer quirky answers,Sarah Jones,2014-03-21T00:00:00Z,"['future', 'humor', 'performance', 'theater']"
Color blind or color brave?,Mellody Hobson,2014-03-20T00:00:00Z,"['business', 'communication', 'inequality', 'race', 'women in business']"
"And for my next trick, a robot",Marco Tempest,2014-03-20T00:00:00Z,"['entertainment', 'magic', 'robots', 'technology']"
The military case for sharing knowledge,Stanley McChrystal,2014-03-20T00:00:00Z,"['Surveillance', 'collaboration', 'iraq', 'military', 'war']"
"Comics that ask ""what if?""",Randall Munroe,2014-03-20T00:00:00Z,"['Google', 'art', 'comedy', 'computers', 'data', 'humor', 'math', 'physics', 'science', 'science and art']"
How sampling transformed music,Mark Ronson,2014-03-17T00:00:00Z,"['live music', 'music', 'performance']"
"How to rob a bank (from the inside, that is)",William Black,2013-09-09T00:00:00Z,"['TEDx', 'business', 'crime', 'finance', 'law']"
"What ants teach us about the brain, cancer and the Internet",Deborah Gordon,2014-03-20T00:00:00Z,"['Internet', 'algorithm', 'animals', 'ants', 'biomimicry', 'cancer', 'computers', 'evolution', 'insects', 'nature', 'science']"
The bridge between suicide and life,Kevin Briggs,2014-03-18T00:00:00Z,"['culture', 'depression', 'mental health', 'suicide']"
The smelly mystery of the human pheromone,Tristram Wyatt,2013-09-17T00:00:00Z,"['TEDx', 'animals', 'biology', 'smell']"
The Museum of Four in the Morning,Rives,2014-03-25T00:00:00Z,"['entertainment', 'humor', 'online video', 'spoken word', 'storytelling']"
Why good leaders make you feel safe,Simon Sinek,2014-03-14T00:00:00Z,"['business', 'leadership', 'military', 'work']"
"Save the oceans, feed the world!",Jackie Savitz,2013-10-25T00:00:00Z,"['TEDx', 'oceans', 'sustainability']"
How the worst moments in our lives make us who we are,Andrew Solomon,2014-03-12T00:00:00Z,"['Gender equality', 'LGBT', 'culture', 'depression', 'identity', 'pain']"
How augmented reality will change sports ... and build empathy,Chris Kluwe,2014-03-11T00:00:00Z,"['sports', 'technology', 'virtual reality']"
How to talk to veterans about the war,Wes Moore,2014-01-16T00:00:00Z,"['PTSD', 'peace', 'war']"
Why veterans miss war,Sebastian Junger,2014-01-16T00:00:00Z,"['PTSD', 'film', 'global issues', 'journalism', 'peace', 'war']"
How the teddy bear taught us compassion,Jon Mooallem,2014-03-19T00:00:00Z,"['environment', 'nature']"
A glimpse of life on the road,Kitra Cahana,2014-03-17T00:00:00Z,"['TED Fellows', 'art', 'global issues', 'journalism', 'photography', 'travel', 'youth']"
"The hunt for ""unexpected genetic heroes""",Stephen Friend,2014-03-18T00:00:00Z,"[""Alzheimer's"", 'biology', 'data', 'disease', 'genetics', 'health', 'privacy']"
How I started writing songs again,Sting,2014-03-18T00:00:00Z,"['creativity', 'live music', 'music', 'performance']"
Get ready for hybrid thinking,Ray Kurzweil,2014-03-20T00:00:00Z,"['AI', 'TED Brain Trust', 'brain', 'cloud', 'evolution', 'future', 'technology']"
The psychology of your future self,Dan Gilbert,2014-03-18T00:00:00Z,"['TED Brain Trust', 'culture', 'humanity', 'personality', 'psychology']"
Why people need poetry,Stephen Burt,2013-06-20T00:00:00Z,"['culture', 'language', 'poetry']"
"The secrets of nature's grossest creatures, channeled into robots",Robert Full,2014-03-18T00:00:00Z,"['animals', 'biology', 'biomimicry', 'demo', 'design', 'exoskeleton', 'insects', 'invention', 'robots', 'science', 'technology']"
What the gay rights movement learned from the civil rights movement,Yoruba Richen,2014-03-13T00:00:00Z,"['Gender equality', 'LGBT', 'activism', 'film', 'inequality', 'race']"
"I'm not your inspiration, thank you very much",Stella Young,2014-04-26T00:00:00Z,"['TEDx', 'activism', 'comedy', 'disability', 'humor', 'motivation']"
Hackers: the Internet's immune system,Keren Elazari,2014-03-18T00:00:00Z,"['Internet', 'activism', 'crime', 'hack', 'terrorism']"
The shocking move to criminalize nonviolent protest,Will Potter,2014-03-17T00:00:00Z,"['TED Fellows', 'activism', 'animals', 'environment', 'journalism', 'nonviolence', 'politics', 'terrorism']"
Why science demands a leap into the unknown,Uri Alon,2013-06-13T00:00:00Z,"['creativity', 'medical research', 'science', 'science and art', 'social change', 'teaching', 'theater']"
The world's largest family reunion ... we're all invited!,AJ Jacobs,2014-03-20T00:00:00Z,"['comedy', 'entertainment', 'family', 'genetics', 'history', 'humanity', 'humor']"
Is religion good or bad? (This is a trick question),Kwame Anthony Appiah,2014-05-15T00:00:00Z,"['atheism', 'faith', 'global issues', 'philosophy', 'religion']"
"What makes a word ""real""?",Anne Curzan,2014-03-15T00:00:00Z,"['TEDx', 'culture', 'language']"
How to make hard choices,Ruth Chang,2014-05-15T00:00:00Z,"['choice', 'decision-making', 'philosophy']"
3 ways to speak English,Jamila Lyiscott,2014-02-12T00:00:00Z,"['culture', 'language', 'race', 'spoken word']"
Two poems about what dogs think (probably),Billy Collins,2014-03-20T00:00:00Z,"['animals', 'creativity', 'death', 'love', 'poetry']"
Why your worst deeds don‰Ûªt define you,Shaka Senghor,2014-03-20T00:00:00Z,"['crime', 'culture', 'prison']"
What‰Ûªs wrong with your pa$$w0rd?,Lorrie Faith Cranor,2014-03-31T00:00:00Z,"['TEDx', 'business', 'communication', 'hack', 'privacy', 'security', 'technology']"
Why we should trust scientists,Naomi Oreskes,2014-05-22T00:00:00Z,"['astronomy', 'climate change', 'history', 'philosophy', 'religion', 'science']"
The DIY orchestra of the future,Ge Wang,2014-05-10T00:00:00Z,"['TEDx', 'live music', 'music', 'technology']"
How to speak so that people want to listen,Julian Treasure,2013-06-10T00:00:00Z,"['culture', 'sound', 'speech']"
The 1s and 0s behind cyber warfare,Chris Domas,2013-10-10T00:00:00Z,"['TEDx', 'code', 'security', 'software', 'technology', 'terrorism', 'war']"
The loves and lies of fireflies,Sara Lewis,2014-03-20T00:00:00Z,"['biology', 'evolution', 'insects']"
Which country does the most good for the world?,Simon Anholt,2014-06-23T00:00:00Z,"['Foreign Policy', 'global issues', 'government', 'policy', 'statistics']"
Can prejudice ever be a good thing?,Paul Bloom,2014-01-15T00:00:00Z,"['behavioral economics', 'mind', 'psychology']"
Why I love a country that once betrayed me,George Takei,2014-06-04T00:00:00Z,"['TEDx', 'children', 'democracy', 'history', 'personal growth', 'politics', 'storytelling', 'war']"
"Want to innovate? Become a ""now-ist""",Joi Ito,2014-03-14T00:00:00Z,"['business', 'creativity', 'design', 'engineering', 'entrepreneur', 'innovation', 'investment', 'natural disaster', 'nuclear energy', 'product design', 'science', 'technology', 'telecom']"
A 30-year history of the future,Nicholas Negroponte,2014-03-19T00:00:00Z,"['computers', 'future', 'innovation', 'intelligence', 'interface design', 'prediction', 'technology']"
Our unhealthy obsession with choice,Renata Salecl,2013-06-13T00:00:00Z,"['choice', 'culture', 'social change']"
When people of Muslim heritage challenge fundamentalism,Karima Bennoune,2014-03-24T00:00:00Z,"['history', 'religion', 'storytelling', 'terrorism', 'war']"
Two nerdy obsessions meet -- and it's magic,David Kwong,2014-03-21T00:00:00Z,"['entertainment', 'magic']"
How do you explain consciousness?,David Chalmers,2014-03-18T00:00:00Z,"['brain', 'consciousness', 'neuroscience', 'philosophy']"
A tool to fix one of the most dangerous moments in surgery,Nikolai Begg,2013-11-12T00:00:00Z,"['Surgery', 'engineering', 'invention', 'medicine', 'product design']"
Sculptures that‰Ûªd be at home in the deep sea,Shih Chieh Huang,2014-03-17T00:00:00Z,"['TED Fellows', 'art', 'oceans']"
What humans can learn from semi-intelligent slime,Heather Barnett,2014-06-23T00:00:00Z,"['3d printing', 'art', 'bacteria', 'biology', 'biomimicry', 'biotech', 'collaboration', 'crowdsourcing', 'microbes', 'microbiology', 'science', 'science and art', 'visualizations']"
Are you human?,Ze Frank,2014-03-20T00:00:00Z,"['comedy', 'community', 'entertainment', 'humanity', 'humor', 'performance']"
An ultra-low-cost college degree,Shai Reshef,2014-03-14T00:00:00Z,"['business', 'code', 'computers', 'education', 'open-source', 'technology']"
"How giant websites design for you (and a billion others, too)",Margaret Gould Stewart,2014-03-19T00:00:00Z,"['business', 'culture', 'design', 'technology']"
The dark secrets of a surveillance state,Hubertus Knabe,2014-06-09T00:00:00Z,"['Europe', 'Surveillance', 'government', 'history', 'intelligence']"
How animations can help scientists test a hypothesis,Janet Iwasa,2014-03-19T00:00:00Z,"['TED Fellows', 'animation', 'biology', 'communication', 'crowdsourcing', 'medical research', 'molecular biology', 'open-source', 'science', 'science and art', 'software', 'technology', 'visualizations']"
Why I live in mortal dread of public speaking,Megan Washington,2014-04-26T00:00:00Z,"['TEDx', 'disability', 'live music', 'media', 'music', 'speech']"
Own your body's data,Talithia Williams,2014-02-12T00:00:00Z,"['Human body', 'TEDx', 'data', 'health', 'heart health', 'statistics']"
"Beware, fellow plutocrats, the pitchforks are coming",Nick Hanauer,2014-08-06T00:00:00Z,"['business', 'economics', 'inequality', 'social change']"
How prisons can help inmates live meaningful lives,Dan Pacholke,2014-03-15T00:00:00Z,"['TEDx', 'crime', 'culture', 'global issues', 'prison', 'social change']"
Why ordinary people need to understand power,Eric Liu,2013-09-20T00:00:00Z,"['democracy', 'policy', 'politics']"
The danger of silence,Clint Smith,2014-07-08T00:00:00Z,"['poetry', 'social change', 'spoken word']"
A Magna Carta for the web,Tim Berners-Lee,2014-03-12T00:00:00Z,"['Internet', 'global issues', 'open-source', 'web']"
"How I brought a river, and my city, back to life",Aziza Chaouni,2014-03-17T00:00:00Z,"['TED Fellows', 'activism', 'architecture', 'cities', 'infrastructure', 'rivers', 'sustainability']"
Why lunch ladies are heroes,Jarrett J. Krosoczka,2014-07-08T00:00:00Z,"['books', 'children', 'education']"
"Depressed dogs, cats with OCD ‰ÛÓ what animal madness means for us humans",Laurel Braitman,2014-07-16T00:00:00Z,"['TED Fellows', 'animals', 'empathy', 'health', 'history', 'mental health', 'neuroscience', 'psychology', 'science']"
"Everyday objects, tragic histories",Ziyah Gaficí,2014-03-17T00:00:00Z,"['TED Fellows', 'photography', 'war']"
Can we prevent the end of the world?,Martin Rees,2014-03-13T00:00:00Z,"['future', 'humanity', 'science']"
"Crop insurance, an idea worth seeding",Rose Goslinga,2014-06-23T00:00:00Z,"['Africa', 'agriculture', 'global issues', 'microfinance']"
Find your voice against gender violence,Meera Vijayann,2014-06-27T00:00:00Z,"['TEDx', 'activism', 'gender', 'india', 'media', 'sexual violence', 'violence', 'women']"
Don't like clickbait? Don't click,Sally Kohn,2014-07-08T00:00:00Z,"['communication', 'media', 'social change', 'social media', 'technology']"
"Please, please, people. Let's put the 'awe' back in 'awesome'",Jill Shargaa,2014-07-09T00:00:00Z,"['comedy', 'humor', 'language']"
Why does the universe exist?,Jim Holt,2014-03-13T00:00:00Z,['philosophy']
How to live passionately‰ÛÓno matter your age,Isabel Allende,2014-03-20T00:00:00Z,"['aging', 'storytelling']"
"An engineer's vision for tiny forests, everywhere",Shubhendu Sharma,2014-03-16T00:00:00Z,"['TED Fellows', 'engineering', 'garden', 'nature', 'open-source', 'trees']"
How our stories cross over,Colin Grant,2012-10-26T00:00:00Z,"['TEDx', 'children', 'culture', 'family', 'history', 'identity', 'parenting', 'society', 'storytelling']"
I am the son of a terrorist. Here's how I chose peace.,Zak Ebrahim,2014-03-12T00:00:00Z,"['Middle East', 'TED Books', 'peace', 'terrorism', 'violence']"
A park underneath the hustle and bustle of New York City,Dan Barasch,2014-07-09T00:00:00Z,"['New York', 'architecture', 'cities']"
How not to be ignorant about the world,Hans and Ola Rosling,2014-06-23T00:00:00Z,"['global issues', 'health', 'statistics']"
Wry photos that turn stereotypes upside down,Uldus Bakhtiozina,2014-03-20T00:00:00Z,"['TED Fellows', 'art', 'humor', 'photography']"
What makes us get sick? Look upstream,Rishi Manchanda,2014-08-07T00:00:00Z,"['health', 'health care']"
What's the next window into our universe?,Andrew Connolly,2014-03-19T00:00:00Z,"['astronomy', 'space', 'technology', 'telescopes', 'universe']"
Why a good book is a secret door,Mac Barnett,2014-06-14T00:00:00Z,"['books', 'children', 'creativity']"
What's next in 3D printing,Avi Reichental,2014-03-13T00:00:00Z,"['manufacturing', 'technology']"
The magic of the Amazon: A river that flows invisibly all around us,Antonio Donato Nobre,2010-11-08T00:00:00Z,"['TEDx', 'climate change', 'nature', 'rivers', 'trees']"
The state of the climate ‰ÛÓ and what we might do about it,Lord Nicholas Stern,2014-09-17T00:00:00Z,"['Anthropocene', 'business', 'climate change', 'economics', 'global issues']"
Big data is better data,Kenneth Cukier,2014-06-23T00:00:00Z,"['data', 'future', 'technology']"
The courage to tell a hidden story,Eman Mohammed,2014-03-14T00:00:00Z,"['Middle East', 'TED Fellows', 'gender', 'global issues', 'journalism', 'photography', 'women']"
‰ÛÏAm I dying?‰Û The honest answer.,Matthew O'Reilly,2014-07-08T00:00:00Z,"['death', 'health', 'medicine']"
How to reinvent the apartment building,Moshe Safdie,2014-03-19T00:00:00Z,"['architecture', 'cities', 'design']"
Sanitation is a basic human right,Francis de los Reyes,2013-08-14T00:00:00Z,"['TED Fellows', 'global issues', 'health', 'infrastructure', 'public health', 'sanitation']"
The career advice you probably didn‰Ûªt get,Susan Colantuono,2013-11-16T00:00:00Z,"['TEDx', 'business', 'gender', 'leadership', 'men', 'women', 'women in business']"
Where to train the world's doctors? Cuba.,Gail Reed,2014-09-10T00:00:00Z,"['global issues', 'health care', 'public health']"
A neural portrait of the human mind,Nancy Kanwisher,2014-03-14T00:00:00Z,"['brain', 'neuroscience', 'visualizations']"
Why I take the piano on the road ... and in the air,Daria van den Bercken,2014-06-24T00:00:00Z,"['live music', 'music', 'piano']"
New thoughts on capital in the twenty-first century,Thomas Piketty,2014-06-23T00:00:00Z,"['economics', 'global issues', 'inequality']"
Why thinking you're ugly is bad for you,Meaghan Ramsey,2014-09-17T00:00:00Z,"['beauty', 'life', 'women']"
How to upgrade democracy for the Internet era,Pia Mancini,2014-10-07T00:00:00Z,"['government', 'open-source', 'politics', 'technology']"
The hidden force in global economics: sending money home,Dilip Ratha,2014-10-07T00:00:00Z,"['business', 'economics', 'finance']"
Why privacy matters,Glenn Greenwald,2014-10-02T00:00:00Z,"['Internet', 'Surveillance', 'government', 'intelligence', 'journalism', 'privacy']"
One more reason to get a good night's sleep,Jeff Iliff,2014-09-18T00:00:00Z,"['brain', 'cognitive science', 'health', 'history', 'medical research', 'memory', 'mental health', 'mind', 'neuroscience', 'science', 'sleep']"
The simple power of hand-washing,Myriam Sidibe,2014-09-10T00:00:00Z,"['children', 'global issues', 'health', 'public health', 'sanitation']"
The future of early cancer detection?,Jorge Soto,2014-10-09T00:00:00Z,"['biotech', 'cancer', 'health', 'technology']"
"Let's help refugees thrive, not just survive",Melissa Fleming,2014-10-08T00:00:00Z,"['Syria', 'education', 'global issues', 'poverty', 'war']"
"My father, locked in his body but soaring free",Kitra Cahana,2014-09-15T00:00:00Z,"['TED Fellows', 'health', 'love', 'medicine', 'photography', 'religion']"
What do we do with all this big data?,Susan Etlinger,2014-09-25T00:00:00Z,['data']
"The leaders who ruined Africa, and the generation who can fix it",Fred Swaniker,2014-10-22T00:00:00Z,"['Africa', 'TED Fellows', 'entrepreneur']"
Should you donate differently?,Joy Sun,2014-07-08T00:00:00Z,"['TED Fellows', 'global issues', 'money']"
What I learned from spending 31 days underwater,Fabien Cousteau,2014-10-13T00:00:00Z,"['adventure', 'biodiversity', 'exploration', 'oceans', 'submarine']"
"A science award that makes you laugh, then think",Marc Abrahams,2014-09-12T00:00:00Z,"['humor', 'innovation', 'science', 'technology']"
How I defend the rule of law,Kimberley Motley,2014-10-10T00:00:00Z,"['crime', 'global issues', 'law', 'women']"
A flying camera ... on a leash,Sergei Lupashin,2014-07-24T00:00:00Z,"['TED Fellows', 'drones', 'photography', 'robots', 'technology']"
Photos that give voice to the animal kingdom,Frans Lanting,2014-03-11T00:00:00Z,"['animals', 'nature', 'photography']"
"Yes, I survived cancer. But that doesn't define me",Debra Jarvis,2014-09-10T00:00:00Z,"['cancer', 'health care', 'identity']"
What new power looks like,Jeremy Heimans,2014-06-23T00:00:00Z,"['activism', 'politics', 'technology']"
It‰Ûªs our city. Let‰Ûªs fix it,Alessandra Orofino,2014-10-07T00:00:00Z,"['cities', 'community', 'politics', 'technology']"
Humble plants that hide surprising secrets,Ameenah Gurib-Fakim,2014-10-27T00:00:00Z,"['biodiversity', 'biology', 'nature', 'plants', 'science']"
Be an opportunity maker,Kare Anderson,2014-09-15T00:00:00Z,"['business', 'communication', 'creativity', 'work']"
My architectural philosophy? Bring the community into the process,Alejandro Aravena,2014-10-09T00:00:00Z,"['architecture', 'cities', 'design', 'infrastructure']"
How painting can transform communities,Haas&Hahn,2014-10-08T00:00:00Z,"['art', 'cities', 'community']"
The coming crisis in antibiotics,Ramanan Laxminarayan,2014-09-18T00:00:00Z,"['economics', 'global issues', 'health', 'medical research', 'medicine', 'pharmaceuticals']"
What the Social Progress Index can reveal about your country,Michael Green,2014-10-08T00:00:00Z,"['economics', 'global issues', 'policy', 'statistics']"
Why we need to end the War on Drugs,Ethan Nadelmann,2014-10-15T00:00:00Z,"['crime', 'global issues', 'narcotics', 'policy']"
What your doctor won‰Ûªt disclose,Leana Wen,2014-09-18T00:00:00Z,"['business', 'health care', 'medicine', 'morality']"
Hidden music rituals around the world,Vincent Moon and NanÌÁ Vasconcelos,2014-10-09T00:00:00Z,"['creativity', 'film', 'jazz', 'live music', 'music', 'travel']"
How to save the world (or at least yourself) from bad meetings,David Grady,2013-10-17T00:00:00Z,"['business', 'communication', 'productivity', 'work']"
Tiny satellites show us the Earth as it changes in near-real-time,Will Marshall,2014-03-20T00:00:00Z,"['astronomy', 'space', 'technology']"
Meet the mom who started the Ice Bucket Challenge,Nancy Frates,2014-10-02T00:00:00Z,"['TEDx', 'disease', 'family', 'health', 'philanthropy']"
This gel can make you stop bleeding instantly,Joe Landolina,2014-10-14T00:00:00Z,"['TED Fellows', 'biology', 'biotech', 'health care', 'innovation', 'invention', 'medicine', 'molecular biology', 'science', 'technology', 'war']"
How autism freed me to be myself,Rosie King,2014-09-09T00:00:00Z,"['Autism spectrum disorder', 'activism', 'disability', 'mind', 'youth']"
What the people of the Amazon know that you don't,Mark Plotkin,2014-10-10T00:00:00Z,"['medicine', 'rivers', 'world cultures']"
Why some people find exercise harder than others,Emily Balcetis,2014-11-01T00:00:00Z,"['TEDx', 'decision-making', 'health', 'mind', 'motivation', 'psychology']"
The art of stillness,Pico Iyer,2014-08-12T00:00:00Z,"['TED Books', 'happiness', 'meditation', 'mindfulness', 'peace', 'productivity', 'travel', 'work-life balance']"
Hidden cameras that film injustice in the world‰Ûªs most dangerous places,Oren Yakobovich,2014-10-14T00:00:00Z,"['activism', 'film', 'global issues', 'online video', 'social change']"
To the South Pole and back ‰ÛÓ the hardest 105 days of my life,Ben Saunders,2014-03-20T00:00:00Z,"['adventure', 'exploration', 'extreme sports', 'personal growth', 'potential']"
The workforce crisis of 2030 -- and how to start solving it now,Rainer Strack,2014-10-20T00:00:00Z,"['business', 'global issues', 'productivity', 'work']"
What veterinarians know that physicians don't,Barbara Natterson-Horowitz,2014-09-16T00:00:00Z,"['animals', 'biology', 'evolution', 'medicine', 'mental health']"
"A dance in a hurricane of paper, wind and light",Aakash Odedra,2014-10-21T00:00:00Z,"['dance', 'music', 'performance']"
How Christmas lights helped guerrillas put down their guns,Jose Miguel Sokoloff,2014-10-07T00:00:00Z,"['advertising', 'creativity', 'war']"
